Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
GRAND DUNMAN,"4,478,000","1,786.82","2,506",Sep-25,DUNMAN ROAD,New Sale,Strata,166,"26,976",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05
UPPERHOUSE AT ORCHARD BOULEVARD,"1,495,000",473.62,"3,157",Sep-25,ORCHARD BOULEVARD,New Sale,Strata,44,"33,977",-,Apartment,1,99 yrs lease commencing from 2024,10,Core Central Region,11 to 15
UPPERHOUSE AT ORCHARD BOULEVARD,"2,402,000",699.66,"3,433",Sep-25,ORCHARD BOULEVARD,New Sale,Strata,65,"36,954",-,Apartment,1,99 yrs lease commencing from 2024,10,Core Central Region,21 to 25
CANBERRA CRESCENT RESIDENCES,"1,336,200",667.37,"2,002",Sep-25,CANBERRA CRESCENT,New Sale,Strata,62,"21,552",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
THE ROBERTSON OPUS,"2,378,000",688.9,"3,452",Sep-25,UNITY STREET,New Sale,Strata,64,"37,156",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
MEYER BLUE,"3,028,000",990.29,"3,058",Sep-25,MEYER ROAD,New Sale,Strata,92,"32,913",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
NAVA GROVE,"3,334,600","1,334.74","2,498",Sep-25,PINE GROVE,New Sale,Strata,124,"26,892",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,16 to 20
ONE MARINA GARDENS,"3,040,071","1,011.82","3,005",Sep-25,MARINA GARDENS LANE,New Sale,Strata,94,"32,341",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,36 to 40
CANBERRA CRESCENT RESIDENCES,"2,031,400",990.29,"2,051",Sep-25,CANBERRA CRESCENT,New Sale,Strata,92,"22,080",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
BLOOMSBURY RESIDENCES,"1,805,000",688.9,"2,620",Sep-25,MEDIA CIRCLE,New Sale,Strata,64,"28,203",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,11 to 15
THE ROBERTSON OPUS,"3,429,000","1,044.11","3,284",Sep-25,UNITY STREET,New Sale,Strata,97,"35,351",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,01 to 05
BAGNALL HAUS,"3,678,000","1,528.49","2,406",Sep-25,UPPER EAST COAST ROAD,New Sale,Strata,142,"25,901",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
BAGNALL HAUS,"1,987,000",764.24,"2,600",Sep-25,UPPER EAST COAST ROAD,New Sale,Strata,71,"27,986",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
