Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
ARCHIPELAGO,"960,000",839.59,"1,143",Dec-20,BEDOK RESERVOIR ROAD,Resale,Strata,78,"12,308",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
BAYSHORE PARK,"675,000",624.31,"1,081",Dec-20,BAYSHORE ROAD,Resale,Strata,58,"11,638",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"715,000",462.85,"1,545",Dec-20,LORONG HOW SUN,Resale,Strata,43,"16,628",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
MERAPRIME,"1,690,000","1,097.93","1,539",Dec-20,JALAN BUKIT HO SWEE,Resale,Strata,102,"16,569",-,Condominium,1,99 yrs lease commencing from 2003,03,Rest of Central Region,31 to 35
ARCHIPELAGO,"590,000",527.44,"1,119",Dec-20,BEDOK RESERVOIR ROAD,Resale,Strata,49,"12,041",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
SEASIDE RESIDENCES,"1,630,000",828.83,"1,967",Dec-20,SIGLAP LINK,Sub Sale,Strata,77,"21,169",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,21 to 25
THE MAYFAIR,"1,010,000","1,162.51",869,Dec-20,JURONG EAST STREET 32,Resale,Strata,108,"9,352",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,11 to 15
THE LAKESHORE,"950,000",947.23,"1,003",Dec-20,JURONG WEST STREET 41,Resale,Strata,88,"10,795",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,06 to 10
THE MAYFAIR,"1,050,000","1,227.1",856,Dec-20,JURONG EAST STREET 32,Resale,Strata,114,"9,211",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,11 to 15
THE QUARTZ,"1,148,000","1,130.22","1,016",Dec-20,COMPASSVALE BOW,Resale,Strata,105,"10,933",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,06 to 10
COSTA DEL SOL,"1,740,000","1,237.86","1,406",Dec-20,BAYSHORE ROAD,Resale,Strata,115,"15,130",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
KELLOCK LODGE,"1,400,000",893.41,"1,567",Dec-20,KELLOCK ROAD,Resale,Strata,83,"16,867",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
HILLION RESIDENCES,"730,000",462.85,"1,577",Dec-20,JELEBU ROAD,Resale,Strata,43,"16,977",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,16 to 20
MARSHALL LODGE,"2,050,000","1,776.06","1,154",Dec-20,MARSHALL ROAD,Resale,Strata,165,"12,424",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE BEVERLY,"2,668,000","2,992.39",892,Dec-20,TOH TUCK ROAD,Resale,Strata,278,"9,597",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"978,000",678.13,"1,442",Dec-20,TAMPINES LANE,New Sale,Strata,63,"15,524",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
THE FORD @ HOLLAND,"1,900,000","1,367.03","1,390",Dec-20,FORD AVENUE,Resale,Strata,127,"14,961",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
MIDWOOD,"1,414,100",893.41,"1,583",Dec-20,HILLVIEW RISE,New Sale,Strata,83,"17,037",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15
PARC RIVIERA,"730,000",462.85,"1,577",Dec-20,WEST COAST VALE,Resale,Strata,43,"16,977",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
THE QUINN,"2,090,000","1,862.17","1,122",Dec-20,BARTLEY ROAD,Resale,Strata,173,"12,081",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"1,720,000",947.23,"1,816",Dec-20,SILAT AVENUE,New Sale,Strata,88,"19,545",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,06 to 10
PARC SOPHIA,"888,000",548.96,"1,618",Dec-20,ADIS ROAD,Resale,Strata,51,"17,412",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
KI RESIDENCES AT BROOKVALE,"1,344,000",742.72,"1,810",Dec-20,BROOKVALE DRIVE,New Sale,Strata,69,"19,478",-,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,06 to 10
AVENUE SOUTH RESIDENCE,"1,923,000",947.23,"2,030",Dec-20,SILAT AVENUE,New Sale,Strata,88,"21,852",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,31 to 35
KI RESIDENCES AT BROOKVALE,"1,513,000",861.12,"1,757",Dec-20,BROOKVALE DRIVE,New Sale,Strata,80,"18,913",-,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,06 to 10
KI RESIDENCES AT BROOKVALE,"1,521,000",861.12,"1,766",Dec-20,BROOKVALE DRIVE,New Sale,Strata,80,"19,013",-,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,06 to 10
SEASIDE RESIDENCES,"2,126,240","1,205.57","1,764",Dec-20,SIGLAP LINK,New Sale,Strata,112,"18,984",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,01 to 05
PARK COLONIAL,"1,492,000",742.72,"2,009",Dec-20,WOODLEIGH LANE,New Sale,Strata,69,"21,623",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10
ARENA RESIDENCES,"1,639,000",893.41,"1,835",Dec-20,GUILLEMARD CRESCENT,New Sale,Strata,83,"19,747",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
KI RESIDENCES AT BROOKVALE,"1,434,000",861.12,"1,665",Dec-20,BROOKVALE DRIVE,New Sale,Strata,80,"17,925",-,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,01 to 05
LEONIE GARDENS,"4,400,000","3,035.45","1,450",Dec-20,LEONIE HILL,Resale,Strata,282,"15,603",-,Condominium,1,99 yrs lease commencing from 1990,09,Core Central Region,21 to 25
LE CRESCENDO,"1,070,000",914.94,"1,169",Dec-20,PAYA LEBAR ROAD,Resale,Strata,85,"12,588",-,Condominium,1,Freehold,14,Rest of Central Region,01 to 05
THE JOVELL,"725,000",527.44,"1,375",Dec-20,FLORA DRIVE,New Sale,Strata,49,"14,796",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
THE LUXURIE,"929,000",796.54,"1,166",Dec-20,COMPASSVALE ROAD,Resale,Strata,74,"12,554",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
NEU AT NOVENA,"1,680,000",645.84,"2,601",Dec-20,MOULMEIN RISE,New Sale,Strata,60,"28,000",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
TREASURE AT TAMPINES,"1,693,000","1,237.86","1,368",Dec-20,TAMPINES LANE,New Sale,Strata,115,"14,722",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE GARDEN RESIDENCES,"1,243,500",828.83,"1,500",Dec-20,SERANGOON NORTH VIEW,New Sale,Strata,77,"16,149",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
THE GARDEN RESIDENCES,"1,556,400","1,065.64","1,461",Dec-20,SERANGOON NORTH VIEW,New Sale,Strata,99,"15,721",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
VERTICUS,"1,880,000",936.47,"2,008",Dec-20,JALAN KEMAMAN,New Sale,Strata,87,"21,609",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
DUCHESS ROYALE,"2,350,000","1,582.31","1,485",Dec-20,DUCHESS AVENUE,Resale,Strata,147,"15,986",-,Apartment,1,999 yrs lease commencing from 1875,10,Core Central Region,01 to 05
