Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
THE CALROSE,2588000.0,1248.62,2073.0,2025-09-01,Resale,Strata,116.0,22310.0,Condominium,Freehold,26,Outside Central Region,01 to 05,1.38291612857094,103.836978305026,511 YIO CHU KANG ROAD THE CALROSE SINGAPORE 787066,61.0,2,2,0,4,10,15
THE ESSENCE,1070000.0,688.9,1553.0,2025-09-01,Resale,Strata,64.0,16719.0,Apartment,99 yrs lease commencing from 2018,26,Outside Central Region,01 to 05,1.40345527031329,103.81716606382,1 CHONG KUO ROAD THE ESSENCE SINGAPORE 779830,61.0,1,0,0,5,0,7
HILLOCK GREEN,1618000.0,656.6,2464.0,2025-09-01,New Sale,Strata,61.0,26525.0,Apartment,99 yrs lease commencing from 2022,26,Outside Central Region,21 to 25,1.38509631948606,103.833849401084,28 LENTOR CENTRAL HILLOCK GREEN (U/C) SINGAPORE 788880,61.0,1,1,0,4,7,14
LENTORIA,2820000.0,1205.57,2339.0,2025-09-01,New Sale,Strata,112.0,25179.0,Condominium,99 yrs lease commencing from 2022,26,Outside Central Region,11 to 15,1.38196577099896,103.834569911036,38 LENTOR HILLS ROAD LENTORIA (U/C) SINGAPORE 788854,61.0,1,2,0,4,9,14
SPRINGLEAF RESIDENCE,3302000.0,1453.14,2272.0,2025-09-01,New Sale,Strata,135.0,24459.0,Apartment,99 yrs lease commencing from 2024,26,Outside Central Region,16 to 20,1.39601248653792,103.817563198325,811 UPPER THOMSON ROAD SPRINGLEAF RESIDENCE (U/C) SINGAPORE 788978,61.0,1,0,0,5,0,5
HILLOCK GREEN,2589000.0,1237.86,2092.0,2025-09-01,New Sale,Strata,115.0,22513.0,Apartment,99 yrs lease commencing from 2022,26,Outside Central Region,21 to 25,1.38509631948606,103.833849401084,28 LENTOR CENTRAL HILLOCK GREEN (U/C) SINGAPORE 788880,61.0,1,1,0,4,7,14
HILLOCK GREEN,1638000.0,656.6,2495.0,2025-09-01,New Sale,Strata,61.0,26852.0,Apartment,99 yrs lease commencing from 2022,26,Outside Central Region,21 to 25,1.38509631948606,103.833849401084,28 LENTOR CENTRAL HILLOCK GREEN (U/C) SINGAPORE 788880,61.0,1,1,0,4,7,14
HILLOCK GREEN,2580000.0,1227.1,2103.0,2025-08-01,New Sale,Strata,114.0,22632.0,Apartment,99 yrs lease commencing from 2022,26,Outside Central Region,21 to 25,1.38509631948606,103.833849401084,28 LENTOR CENTRAL HILLOCK GREEN (U/C) SINGAPORE 788880,60.0,1,1,0,4,7,14
LENTORIA,1704050.0,731.95,2328.0,2025-08-01,New Sale,Strata,68.0,25060.0,Condominium,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05,1.38196577099896,103.834569911036,38 LENTOR HILLS ROAD LENTORIA (U/C) SINGAPORE 788854,60.0,1,2,0,4,9,14
SPRINGLEAF RESIDENCE,3019000.0,1453.14,2078.0,2025-08-01,New Sale,Strata,135.0,22363.0,Apartment,99 yrs lease commencing from 2024,26,Outside Central Region,01 to 05,1.39601248653792,103.817563198325,811 UPPER THOMSON ROAD SPRINGLEAF RESIDENCE (U/C) SINGAPORE 788978,60.0,1,0,0,5,0,5
THE CALROSE,3101199.0,1657.66,1871.0,2025-08-01,Resale,Strata,154.0,20138.0,Condominium,Freehold,26,Outside Central Region,01 to 05,1.38291612857094,103.836978305026,511 YIO CHU KANG ROAD THE CALROSE SINGAPORE 787066,60.0,2,2,0,4,10,15
SEASONS PARK,1365000.0,1065.64,1281.0,2025-08-01,Resale,Strata,99.0,13788.0,Condominium,99 yrs lease commencing from 1995,26,Outside Central Region,06 to 10,1.30325877748306,103.828469246045,8 CUSCADEN WALK FOUR SEASONS PARK SINGAPORE 249692,60.0,3,0,13,15,9,0
SPRINGLEAF RESIDENCE,2335000.0,1119.46,2086.0,2025-08-01,New Sale,Strata,104.0,22452.0,Apartment,99 yrs lease commencing from 2024,26,Outside Central Region,01 to 05,1.39601248653792,103.817563198325,811 UPPER THOMSON ROAD SPRINGLEAF RESIDENCE (U/C) SINGAPORE 788978,60.0,1,0,0,5,0,5
HILLOCK GREEN,2657000.0,1259.39,2110.0,2025-08-01,New Sale,Strata,117.0,22709.0,Apartment,99 yrs lease commencing from 2022,26,Outside Central Region,21 to 25,1.38509631948606,103.833849401084,28 LENTOR CENTRAL HILLOCK GREEN (U/C) SINGAPORE 788880,60.0,1,1,0,4,7,14
LENTORIA,2740000.0,1205.57,2273.0,2025-08-01,New Sale,Strata,112.0,24464.0,Condominium,99 yrs lease commencing from 2022,26,Outside Central Region,06 to 10,1.38196577099896,103.834569911036,38 LENTOR HILLS ROAD LENTORIA (U/C) SINGAPORE 788854,60.0,1,2,0,4,9,14
LENTORIA,2832000.0,1205.57,2349.0,2025-08-01,New Sale,Strata,112.0,25286.0,Condominium,99 yrs lease commencing from 2022,26,Outside Central Region,11 to 15,1.38196577099896,103.834569911036,38 LENTOR HILLS ROAD LENTORIA (U/C) SINGAPORE 788854,60.0,1,2,0,4,9,14
