Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
SKY EVERTON,1795000.0,624.31,2875.0,2025-09-01,Resale,Strata,58.0,30948.0,Apartment,Freehold,2,Rest of Central Region,16 to 20,1.27588976787545,103.838151709122,50 EVERTON ROAD SKY EVERTON SINGAPORE 089396,1.6318014192389168,61.0,6,3,2,10,6,6
SKYSUITES@ANSON,1520000.0,699.66,2172.0,2025-09-01,Resale,Strata,65.0,23385.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,36 to 40,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,61.0,9,4,3,8,3,6
EON SHENTON,1550000.0,882.65,1756.0,2025-08-01,Resale,Strata,82.0,18902.0,Apartment,99 yrs lease commencing from 2011,2,Core Central Region,26 to 30,1.27388660363944,103.846235542245,70 SHENTON WAY EON SHENTON SINGAPORE 079118,1.1387030521425856,60.0,8,4,3,8,2,6
THE ARRIS,2300000.0,979.52,2348.0,2025-08-01,Resale,Strata,91.0,25275.0,Apartment,Freehold,2,Rest of Central Region,01 to 05,1.27550106882151,103.841596022941,28 YAN KIT ROAD THE ARRIS SINGAPORE 088271,1.3352546383521964,60.0,8,4,3,10,5,6
SKYSUITES@ANSON,1480000.0,667.37,2218.0,2025-08-01,Resale,Strata,62.0,23871.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,41 to 45,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,60.0,9,4,3,8,3,6
SPOTTISWOODE RESIDENCES,1330000.0,602.78,2206.0,2025-08-01,Resale,Strata,56.0,23750.0,Condominium,Freehold,2,Rest of Central Region,21 to 25,1.27527115223131,103.83683222505,48 SPOTTISWOODE PARK ROAD SPOTTISWOODE RESIDENCES SINGAPORE 088660,1.7934708849757457,60.0,6,1,2,9,6,3
EON SHENTON,1210000.0,527.44,2294.0,2025-08-01,Resale,Strata,49.0,24694.0,Apartment,99 yrs lease commencing from 2011,2,Core Central Region,26 to 30,1.27388660363944,103.846235542245,70 SHENTON WAY EON SHENTON SINGAPORE 079118,1.1387030521425856,60.0,8,4,3,8,2,6
WALLICH RESIDENCE,1640000.0,645.84,2539.0,2025-08-01,Resale,Strata,60.0,27333.0,Apartment,99 yrs lease commencing from 2011,2,Core Central Region,36 to 40,1.27711736000318,103.845790152215,3 WALLICH STREET WALLICH RESIDENCE SINGAPORE 078882,0.8713769583307371,60.0,13,7,6,9,4,9
76 SHENTON,1088000.0,592.02,1838.0,2025-08-01,Resale,Strata,55.0,19782.0,Apartment,99 yrs lease commencing from 2007,2,Core Central Region,06 to 10,1.2734661134853,103.845580792511,76 SHENTON WAY 76 SHENTON SINGAPORE 079119,1.214537395836928,60.0,6,3,3,8,3,6
SKYSUITES@ANSON,980000.0,398.27,2461.0,2025-08-01,Resale,Strata,37.0,26486.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,41 to 45,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,60.0,9,4,3,8,3,6
EON SHENTON,1160000.0,538.2,2155.0,2025-08-01,Resale,Strata,50.0,23200.0,Apartment,99 yrs lease commencing from 2011,2,Core Central Region,26 to 30,1.27388660363944,103.846235542245,70 SHENTON WAY EON SHENTON SINGAPORE 079118,1.1387030521425856,60.0,8,4,3,8,2,6
SPOTTISWOODE 18,1530000.0,656.6,2330.0,2025-08-01,Resale,Strata,61.0,25082.0,Apartment,Freehold,2,Rest of Central Region,16 to 20,1.27559528527257,103.837559859708,18 SPOTTISWOODE PARK ROAD SPOTTISWOODE 18 SINGAPORE 088642,1.705211965159478,60.0,7,3,2,9,6,5
76 SHENTON,1200000.0,624.31,1922.0,2025-07-01,Resale,Strata,58.0,20690.0,Apartment,99 yrs lease commencing from 2007,2,Core Central Region,06 to 10,1.2734661134853,103.845580792511,76 SHENTON WAY 76 SHENTON SINGAPORE 079119,1.214537395836928,59.0,6,3,3,8,3,6
CRAIG PLACE,1080000.0,570.49,1893.0,2025-07-01,Resale,Strata,53.0,20377.0,Apartment,99 yrs lease commencing from 1997,2,Rest of Central Region,06 to 10,1.27803124712698,103.84238791264,20 CRAIG ROAD CRAIG PLACE SINGAPORE 089692,1.1047614803766506,59.0,11,6,6,11,6,7
SKY EVERTON,1920000.0,678.13,2831.0,2025-07-01,Resale,Strata,63.0,30476.0,Apartment,Freehold,2,Rest of Central Region,06 to 10,1.27588976787545,103.838151709122,50 EVERTON ROAD SKY EVERTON SINGAPORE 089396,1.6318014192389168,59.0,6,3,2,10,6,6
