Planning Area,Subzone,Postal District
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Cheng San,20
Ang Mo Kio,Chong Boon,20
Ang Mo Kio,Kebun Bahru,20
Ang Mo Kio,Sembawang Hills,20
Ang Mo Kio,Shangri-La,20
Ang Mo Kio,Tagore,20
Ang Mo Kio,Townsville,20
Ang Mo Kio,Yio Chu Kang,20
Ang Mo Kio,Yio Chu Kang East,20
Ang Mo Kio,Yio Chu Kang North,20
Ang Mo Kio,Yio Chu Kang West,20
Bedok,Bayshore,16
Bedok,Bedok North,16
Bedok,Bedok Reservoir,16
Bedok,Bedok South,16
Bedok,Frankel,16
Bedok,Kaki Bukit,16
Bedok,Kembangan,16
Bedok,Siglap,16
Bishan,Bishan East,20
Bishan,Marymount,20
Bishan,Upper Thomson,20
Boon Lay,Liu Fang,22
Boon Lay,Samulun,22
Boon Lay,Shipyard,22
Boon Lay,Tukang,22
Bukit Batok,Brickworks,23
Bukit Batok,Bukit Batok Central,23
Bukit Batok,Bukit Batok East,23
Bukit Batok,Bukit Batok South,23
Bukit Batok,Bukit Batok West,23
Bukit Batok,Gombak,23
Bukit Batok,Guilin,23
Bukit Batok,Hillview,23
Bukit Batok,Hong Kah North,23
Bukit Merah,Alexandra Hill,3
Bukit Merah,Alexandra North,3
Bukit Merah,Bukit Ho Swee,3
Bukit Merah,Bukit Merah,3
Bukit Merah,City Terminals,3
Bukit Merah,Depot Road,3
Bukit Merah,Everton Park,3
Bukit Merah,Henderson Hill,3
Bukit Merah,Kampong Tiong Bahru,3
Bukit Merah,Maritime Square,3
Bukit Merah,Redhill,3
Bukit Merah,Singapore General Hospital,3
Bukit Merah,Telok Blangah Drive,3
Bukit Merah,Telok Blangah Rise,3
Bukit Merah,Telok Blangah Way,3
Bukit Merah,Tiong Bahru,3
Bukit Merah,Tiong Bahru Station,3
Bukit Panjang,Bangkit,23
Bukit Panjang,Dairy Farm,23
Bukit Panjang,Fajar,23
Bukit Panjang,Jelebu,23
Bukit Panjang,Nature Reserve,23
Bukit Panjang,Saujana,23
Bukit Panjang,Senja,23
Bukit Timah,Anak Bukit,10
Bukit Timah,Coronation Road,10
Bukit Timah,Farrer Court,10
Bukit Timah,Hillcrest,10
Bukit Timah,Holland Road,10
Bukit Timah,Leedon Park,10
Bukit Timah,Swiss Club,10
Bukit Timah,Ulu Pandan,10
Central Water Catchment,Central Water Catchment,
Changi,Changi Airport,17
Changi,Changi Point,17
Changi,Changi West,17
Changi Bay,Changi Bay,17
Choa Chu Kang,Choa Chu Kang Central,23
Choa Chu Kang,Choa Chu Kang North,23
Choa Chu Kang,Keat Hong,23
Choa Chu Kang,Peng Siang,23
Choa Chu Kang,Teck Whye,23
Choa Chu Kang,Yew Tee,23
Clementi,Clementi Central,5
Clementi,Clementi North,5
Clementi,Clementi West,5
Clementi,Clementi Woods,5
Clementi,Faber,5
Clementi,Pandan,5
Clementi,Sunset Way,5
Clementi,Toh Tuck,5
Clementi,West Coast,5
Downtown Core,Anson,1
Downtown Core,Bayfront Subzone,1
Downtown Core,Bugis,7
Downtown Core,Cecil,1
Downtown Core,Central Subzone,1
Downtown Core,City Hall,6
Downtown Core,Clifford Pier,1
Downtown Core,Marina Centre,1
Downtown Core,Maxwell,2
Downtown Core,Nicoll,1
Downtown Core,Phillip,1
Downtown Core,Raffles Place,1
Downtown Core,Tanjong Pagar,2
Geylang,Aljunied,14
Geylang,Geylang East,14
Geylang,Kallang Way,14
Geylang,Kampong Ubi,14
Geylang,Macpherson,14
Hougang,Defu Industrial Park,19
Hougang,Hougang Central,19
Hougang,Hougang East,19
Hougang,Hougang West,19
Hougang,Kangkar,19
Hougang,Kovan,19
Hougang,Lorong Ah Soo,19
Hougang,Lorong Halus,19
Hougang,Tai Seng,19
Hougang,Trafalgar,19
Jurong East,International Business Park,22
Jurong East,Jurong Gateway,22
Jurong East,Jurong Port,22
Jurong East,Jurong River,22
Jurong East,Lakeside (Business),22
Jurong East,Lakeside (Leisure),22
Jurong East,Penjuru Crescent,22
Jurong East,Teban Gardens,22
Jurong East,Toh Guan,22
Jurong East,Yuhua East,22
Jurong East,Yuhua West,22
Jurong West,Boon Lay Place,22
Jurong West,Chin Bee,22
Jurong West,Hong Kah,22
Jurong West,Jurong West Central,22
Jurong West,Kian Teck,22
Jurong West,Safti,22
Jurong West,Taman Jurong,22
Jurong West,Wenya,22
Jurong West,Yunnan,22
Kallang,Bendemeer,12
Kallang,Boon Keng,12
Kallang,Crawford,7
Kallang,Geylang Bahru,12
Kallang,Kallang Bahru,12
Kallang,Kampong Bugis,12
Kallang,Kampong Java,9
Kallang,Lavender,12
Kallang,Tanjong Rhu,15
Lim Chu Kang,Lim Chu Kang,24
Mandai,Mandai East,26
Mandai,Mandai Estate,26
Mandai,Mandai West,26
Marina East,Marina East,1
Marina South,Marina South,1
Marine Parade,East Coast,15
Marine Parade,Katong,15
Marine Parade,Marina East (Mp),15
Marine Parade,Marine Parade,15
Marine Parade,Mountbatten,15
Museum,Bras Basah,7
Museum,Dhoby Ghaut,9
Museum,Fort Canning,
Newton,Cairnhill,9
Newton,Goodwood Park,9
Newton,Istana Negara,9
Newton,Monk's Hill,10
Newton,Newton Circus,11
Newton,Orange Grove,10
North-Eastern Islands,North-Eastern Islands,
Novena,Balestier,11
Novena,Dunearn,11
Novena,Malcolm,11
Novena,Moulmein,11
Novena,Mount Pleasant,11
Orchard,Boulevard,9
Orchard,Somerset,9
Orchard,Tanglin,9
Outram,China Square,2
Outram,Chinatown,2
Outram,Pearl's Hill,2
Outram,People's Park,2
Pasir Ris,Flora Drive,18
Pasir Ris,Loyang East,18
Pasir Ris,Loyang West,18
Pasir Ris,Pasir Ris Central,18
Pasir Ris,Pasir Ris Drive,18
Pasir Ris,Pasir Ris Park,18
Pasir Ris,Pasir Ris Wafer Fab Park,18
Pasir Ris,Pasir Ris West,18
Paya Lebar,Airport Road,14
Paya Lebar,Paya Lebar East,14
Paya Lebar,Paya Lebar North,14
Paya Lebar,Paya Lebar West,14
Paya Lebar,Plab,14
Pioneer,Benoi Sector,22
Pioneer,Gul Basin,22
Pioneer,Gul Circle,22
Pioneer,Joo Koon,22
Pioneer,Pioneer Sector,22
Punggol,Coney Island,19
Punggol,Matilda,19
Punggol,Northshore,19
Punggol,Punggol Canal,19
Punggol,Punggol Field,19
Punggol,Punggol Town Centre,19
Punggol,Waterway East,19
Queenstown,Commonwealth,3
Queenstown,Dover,3
Queenstown,Ghim Moh,3
Queenstown,Holland Drive,3
Queenstown,Kent Ridge,3
Queenstown,Margaret Drive,3
Queenstown,Mei Chin,3
Queenstown,National University Of S'pore,3
Queenstown,One North,3
Queenstown,Pasir Panjang 1,3
Queenstown,Pasir Panjang 2,3
Queenstown,Port,3
Queenstown,Queensway,3
Queenstown,Singapore Polytechnic,3
Queenstown,Tanglin Halt,3
River Valley,Institution Hill,9
River Valley,Leonie Hill,9
River Valley,One Tree Hill,9
River Valley,Oxley,9
River Valley,Paterson,9
Rochor,Bencoolen,7
Rochor,Farrer Park,7
Rochor,Kampong Glam,7
Rochor,Little India,7
Rochor,Mackenzie,7
Rochor,Mount Emily,7
Rochor,Rochor Canal,7
Rochor,Selegie,7
Rochor,Sungei Road,7
Rochor,Victoria,7
Seletar,Pulau Punggol Barat,28
Seletar,Pulau Punggol Timor,28
Seletar,Seletar,28
Seletar,Seletar Aerospace Park,28
Sembawang,Admiralty,27
Sembawang,Sembawang Central,27
Sembawang,Sembawang East,27
Sembawang,Sembawang North,27
Sembawang,Sembawang Springs,27
Sembawang,Sembawang Straits,27
Sembawang,Senoko North,27
Sembawang,Senoko South,27
Sembawang,The Wharves,27
