Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BLOOMSBURY RESIDENCES,"1,742,000",688.9,"2,529",Apr-25,MEDIA CIRCLE,New Sale,Strata,64,"27,219",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,06 to 10
BLOOMSBURY RESIDENCES,"1,754,000",688.9,"2,546",Apr-25,MEDIA CIRCLE,New Sale,Strata,64,"27,406",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,06 to 10
BLOOMSBURY RESIDENCES,"1,533,700",645.84,"2,375",Apr-25,MEDIA CIRCLE,New Sale,Strata,60,"25,562",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,06 to 10
BLOOMSBURY RESIDENCES,"3,630,000","1,420.85","2,555",Apr-25,MEDIA CIRCLE,New Sale,Strata,132,"27,500",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,06 to 10
BLOOMSBURY RESIDENCES,"5,753,700","2,131.27","2,700",Apr-25,MEDIA CIRCLE,New Sale,Strata,198,"29,059",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,21 to 25
SAPPHIRE COURT,"1,840,000","1,442.38","1,276",Apr-25,LORONG K TELOK KURAU,Resale,Strata,134,"13,731",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PARK COLONIAL,"945,000",462.85,"2,042",Apr-25,WOODLEIGH LANE,Resale,Strata,43,"21,977",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05
THE MYST,"3,285,000","1,689.95","1,944",Apr-25,UPPER BUKIT TIMAH ROAD,New Sale,Strata,157,"20,924",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,06 to 10
NV RESIDENCES,"1,000,000",764.24,"1,308",Apr-25,PASIR RIS GROVE,Resale,Strata,71,"14,085",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
PARC ESTA,"1,180,000",527.44,"2,237",Apr-25,SIMS AVENUE,Resale,Strata,49,"24,082",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
