Postal District,Avg_MRT,Avg_Hawker,Avg_Mall,Avg_Hospitals,Avg_Schools,Avg_Parks,Avg_Dist_to_CBD,Property_Count,Total_Avg_Amenities
1,9.6,3.06,2.68,9.42,2.69,7.16,0.884673,1638,34.61
2,8.04,3.76,2.99,8.7,3.93,5.87,1.324877,1233,33.29
3,3.31,4.38,1.63,11.32,10.47,3.16,3.695360,4888,34.27
4,1.24,1.34,0.34,5.58,3.5,1.89,4.485933,2141,13.89
5,0.89,1.65,1.33,4.48,7.59,3.86,8.699459,8654,19.8
6,10.02,2.96,7.11,12.98,6.98,13.05,1.177074,712,53.1
7,9.71,2.72,11.59,12.15,4.87,5.8,1.987078,1363,46.84
8,4.52,3.14,2.54,13.64,9.75,5.18,3.314671,1481,38.77
9,5.63,1.96,11.06,14.25,9.48,5.84,2.412735,5926,48.22
10,2.47,1.63,1.91,11.91,8.09,2.42,5.468008,7127,28.43
11,2.61,1.28,2.1,13.02,11.35,5.93,4.650046,2677,36.29
12,2.14,3.35,1.7,11.46,15.47,2.3,5.280780,3273,36.42
13,1.92,0.85,0.86,9.35,16.96,6.9,6.302095,2302,36.84
14,2.9,3.16,0.52,5.61,9.68,6.58,6.017678,5244,28.45
15,1.95,1.79,2.43,3.18,9.62,7.43,6.017876,9924,26.4
16,1.35,1.73,0.28,1.91,12.8,8.24,11.169038,4057,26.31
17,0.0,0.03,0.37,1.0,13.32,4.22,15.360992,2362,18.94
18,0.99,0.68,1.49,1.15,15.68,2.8,13.485877,7126,22.79
19,2.72,0.78,1.22,4.57,19.95,5.05,10.200222,9937,34.29
20,1.97,1.63,1.18,6.6,14.14,8.84,8.690380,2929,34.36
21,1.05,1.24,1.42,4.37,5.77,6.94,10.406806,5857,20.79
22,1.06,1.39,1.65,3.0,13.81,1.42,15.114874,2303,22.33
23,2.61,0.15,1.83,2.52,11.49,6.73,13.517511,11740,25.33
25,2.11,0.69,3.54,2.0,17.28,1.0,17.620942,953,26.62
26,1.06,0.68,0.24,4.44,5.57,11.67,11.663972,4334,23.66
27,0.79,0.96,1.44,3.82,13.48,3.49,16.805619,2800,23.98
