District,Areas_in_District,Total,Young_Adults_20_35,Families_36_59,Retirees_60_Plus
1,"Downtown Core, Marina East, Marina South, Museum, Outram",22460,5940,8780,6060
2,"Tanjong Pagar, Downtown Core",3720,1050,1620,980
3,"Queenstown, Tiong Bahru",98050,26200,37540,23900
4,"Bukit Merah, Southern Islands",157320,41280,60720,39720
5,Clementi,91630,24610,35370,21460
6,"Kallang, Singapore River",101210,26750,40300,24410
7,"Rochor, Singapore River",2720,810,1370,320
8,Rochor,14590,3900,5830,3820
9,"Orchard, River Valley",10110,2690,4470,1860
10,"Bukit Timah, Tanglin",19000,4560,8160,3520
11,"Novena, Newton",6920,1660,3060,1360
12,"Toa Payoh, Novena",47990,12220,19470,10200
13,"Toa Payoh, Serangoon",124940,32430,48260,30400
14,"Geylang, Paya Lebar",117000,32570,45740,25800
15,Marine Parade,48730,12040,19320,11050
16,Bedok,289750,79430,111640,62750
17,"Changi, Pasir Ris",2530,640,1010,330
18,"Tampines, Pasir Ris, North-Eastern Islands",401120,118200,158420,61940
19,"Serangoon, Hougang, Punggol, Sengkang, North-Eastern Islands",659470,203700,255100,103000
20,"Bishan, Ang Mo Kio",174770,46800,67590,41390
21,Bukit Timah,74470,18000,29050,14950
22,"Jurong East, Jurong West, Boon Lay, Pioneer, Tuas, Western Water Catchment",357840,109710,140510,56010
23,"Bukit Panjang, Choa Chu Kang, Bukit Batok, Sungei Kadut, Western Water Catchment",452630,132980,180980,65460
24,"Lim Chu Kang, Tengah, Western Water Catchment",1000,340,370,110
25,"Woodlands, Central Water Catchment, Sungei Kadut",251150,75290,100170,29830
26,"Bishan, Mandai",92820,25650,35960,18840
27,"Yishun, Sembawang",278500,87310,110310,40660
28,Seletar,270,40,150,30
