Hawker Name,Street Name,Longitude,Latitude
Amoy Street Food Centre (Telok Ayer Food Centre),MAXWELL ROAD,103.84661927383159,1.2792312094873002
Margaret Drive Hawker Centre,Margaret Drive,103.80469379769634,1.2974865589089906
Punggol Coast Hawker Centre,Punggol Way,103.90854260132319,1.4145180096913892
Telok Blangah Hawker Centre & Market,Telok Blangah Drive,103.8084289682175,1.2732499271477487
Bukit Timah Market,Upper Bukit Timah Road,103.77633041443977,1.33923656638092
Bukit Timah Interim Hawker Centre and Market,JALAN SEH CHUAN,103.77521471399332,1.3407879159379656
Tampines North Hawker Centre,TAMPINES STREET 62,103.9377763570609,1.3668484230579017
Tanglin Halt Hawker Centre & Market,Tanglin Halt Road,103.79803174152435,1.299651001320326
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),Whampoa Drive,103.85499618356134,1.323064938171913
Pasir Panjang Food Centre,Pasir Panjang Road,103.79141090894716,1.2759179745717486
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),Tanjong Pagar Plaza,103.8431616772891,1.276613670144106
Jurong West Hawker Centre,Jurong West Street 61,103.69724185257508,1.3412641038830853
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),Old Airport Road,103.88580870625425,1.3082518466799975
Redhill Lane Blk 85 (Redhill Food Centre),Redhill Lane,103.81831119566189,1.2873075147506794
Redhill Lane Blk 79 (Redhill Market),Redhill Lane,103.81835209769348,1.2878431730128634
One Punggol Hawker Centre,Punggol Drive,103.90516945745766,1.4087476457286714
Bedok Food Centre,Bedok Road,103.95547759902762,1.320350159875293
Bukit Canberra Hawker Centre,Canberra Link,103.8227636322519,1.4482633636853246
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),Upper Cross Street,103.84582428335005,1.2852950787883
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Marine Parade Central,103.90634383419179,1.3022965558595991
Marsiling Lane Blk 20/21,Marsiling Lane,103.7770061037781,1.4434162431254685
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),Whampoa Drive,103.85406019787618,1.323428186962711
New Upper Changi Road Blk 58,New Upper Changi Road,103.94112527731751,1.3242008730218346
Yishun Park Hawker Centre,Yishun Avenue 11,103.84474752510276,1.4249878627577708
Zion Riverside Food Centre,Zion Road,103.8311890232012,1.2923422109888436
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),Circuit Road,103.88710266901265,1.3278341461996204
Circuit Road Blk 89,Circuit Road,103.8854388424852,1.3235797144355712
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),Telok Blangah Crescent,103.81865152419587,1.2773681323059345
Maxwell Food Centre (Kim Hua Market),Kadayanallur Street,103.844747227493,1.2803314273259558
