Hospital Name,Opened,District,Ownership,Beds,Staff,Latitude,Longitude,Full Address
Changi General Hospital,1998,Simei,Public (SingHealth),1043.0,5736.0,1.29731616717126,103.838541255824,131 KILLINEY ROAD CGH BUILDING SINGAPORE 239571
KK Women's and Children's Hospital,1858,Rochor,Public (SingHealth),848.0,4861.0,1.31049007429064,103.84681332162,100 BUKIT TIMAH ROAD KK WOMEN'S AND CHILDREN'S HOSPITAL SINGAPORE 229899
Sengkang General Hospital,2018,Sengkang,Public (SingHealth),799.0,3797.0,1.39572457045088,103.892640159741,1 ANCHORVALE STREET SENGKANG GENERAL HOSPITAL SINGAPORE 544835
Singapore General Hospital,1821,Outram,Public (SingHealth),1939.0,9201.0,1.2793345730706,103.835249345493,SGH BLK 4 (TAXI STAND)
Khoo Teck Puat Hospital,2010,Yishun,Public (National Healthcare Group),795.0,,1.42408101871819,103.83857888869,90 YISHUN CENTRAL KHOO TECK PUAT HOSPITAL SINGAPORE 768828
Tan Tock Seng Hospital,1844,Novena,Public (National Healthcare Group),1700.0,,1.31967333509975,103.847939766022,142 MOULMEIN ROAD DEPARTMENT OF CLINICAL EPIDEMIOLOGY (TAN TOCK SENG HOSPITAL) SINGAPORE 308087
Woodlands Health Campus,2023,Woodlands,Public (National Healthcare Group),1800.0,,1.42468138298223,103.794743820819,17 WOODLANDS DRIVE 17 WOODLANDS HEALTH CAMPUS SINGAPORE 737628
Alexandra Hospital,1938,Queenstown,Public (National University Health System),326.0,,1.28548113039313,103.800180925466,378 ALEXANDRA ROAD ALEXANDRA HOSPITAL SINGAPORE 159964
National University Hospital,1985,Kent Ridge,Public (National University Health System),1200.0,8271.0,1.29483554189273,103.783725795673,5 LOWER KENT RIDGE ROAD CHILDREN'S MEDICAL INSTITUTE (NATIONAL UNIVERSITY HOSPITAL) SINGAPORE 119074
Ng Teng Fong General Hospital,2015,Jurong East,Public (National University Health System),700.0,,1.33360619131534,103.745448362928,1 JURONG EAST STREET 21 NG TENG FONG GENERAL HOSPITAL SINGAPORE 609606
Mount Alvernia Hospital,1961,Marymount,Not-for-Profit,319.0,,1.34149897479709,103.837774442377,820 THOMSON ROAD 24-HOUR WALK-IN CLINIC (MOUNT ALVERNIA HOSPITAL) SINGAPORE 574623
Crawfurd Hospital,2012,Bukit Timah,Private,31.0,,1.32680246125855,103.813318177207,19 ADAM ROAD CRAWFURD HOSPITAL PTE LTD SINGAPORE 289891
Farrer Park Hospital,2016,Farrer Park,Private,121.0,,1.31275668101216,103.853842188373,1 FARRER PARK STATION ROAD FARRER PARK HOSPITAL SINGAPORE 217562
