station_name,longitude,latitude,station_code,color,line
Esplanade,103.85561173051623,1.2932599005110816,CC3,Orange,Circle
Paya Lebar,103.89227219451108,1.3173694012363306,EW8,Green,East West
Paya Lebar,103.89227219451108,1.3173694012363306,CC9,Orange,Circle
Dhoby Ghaut,103.8458331610417,1.2990442030454223,NS24,Red,North South
Dhoby Ghaut,103.8458331610417,1.2990442030454223,NE6,Purple,North East
Dhoby Ghaut,103.8458331610417,1.2990442030454223,CC1,Orange,Circle
Dakota,103.88866829961988,1.3083751548578983,CC8,Orange,Circle
Lavender,103.86283780137067,1.3073717305401726,EW11,Green,East West
Renjong,103.8904287884913,1.3867475130805276,SW8,,Sengkang LRT
Dover,103.77864915497852,1.3113946902694622,EW22,Green,East West
Hougang,103.89234753417199,1.3712811748310318,NE14,Purple,North East
Phoenix,103.7580336231313,1.3786249494438885,BP5,,Bukit Panjang LRT
Aljunied,103.88290604346119,1.3164324728309895,EW9,Green,East West
Cove,103.90591744003868,1.3993617069210023,PE1,,Punggol LRT
Pasir Ris,103.9492576380466,1.372951874838454,EW1,Green,East West
Admiralty,103.80097700881026,1.4405870899071695,NS10,Red,North South
Kembangan,103.91294752764095,1.3210380679728027,EW6,Green,East West
Punggol Point,103.90653551146728,1.41691085274144,PW3,,Punggol LRT
Marsiling,103.77419400271717,1.4325651687522347,NS,Red,North South
Compassvale,103.90055527769678,1.3944787835084709,SE1,,Sengkang LRT
Khatib,103.83303805988021,1.4175768086974465,NS14,Red,North South
Layar,103.88015787540466,1.3920928723391566,SW6,,Sengkang LRT
Tampines West,103.93842947035631,1.34551750723051,DT31,Blue,Downtown
Tampines,103.94515900793745,1.3532891915288594,EW2,Green,East West
Tampines,103.94515900793745,1.3532891915288594,DT32,Blue,Downtown
Tampines East,103.95480497241815,1.3562130024622965,DT33,Blue,Downtown
Tai Seng,103.88816447585148,1.3354531036164103,CC11,Orange,Circle
Sumang,103.89851028688162,1.4083532967338412,PW6,,Punggol LRT
Stevens,103.82602302626412,1.3200659546015552,DT10,Blue,Downtown
Stevens,103.82602302626412,1.3200659546015552,TE11,Brown,Thomson–East Coast
Stadium,103.8753479636843,1.3028541000200191,CC6,Orange,Circle
Sixth Avenue,103.79732046051102,1.3307848579079669,DT7,Blue,Downtown
South View,103.74529179987564,1.3802982861094408,BP2,,Bukit Panjang LRT
Soo Teck,103.8972344083142,1.4052096471263997,PW7,,Punggol LRT
Somerset,103.839075428181,1.3002576152123915,NS23,Red,North South
Simei,103.9533771187526,1.3431974386722225,EW3,Green,East West
Serangoon,103.87363463484908,1.3496172242889009,NE12,Purple,North East
Serangoon,103.87363463484908,1.3496172242889009,CC13,Orange,Circle
Sengkang,103.89541608068801,1.39152768192613,NE16,Purple,North East
Sengkang,103.89541608068801,1.39152768192613,STC,,Sengkang LRT
Braddell,103.84679989894848,1.3404441145040584,NS18,Red,North South
Novena,103.8438181306479,1.320430081558181,NS20,Red,North South
Farrer Park,103.85427015820119,1.3124482282682042,NE8,Purple,North East
Bedok,103.93017252024234,1.3240113190796488,EW5,Green,East West
Redhill,103.81679002798292,1.289619539360249,EW18,Green,East West
Changi Airport,103.988370580773,1.3573079311156087,CG2,Green,Changi Airport Branch
Coral Edge,103.91256353501424,1.3939263506091426,PE3,,Punggol LRT
Clementi,103.76523302866741,1.315078227075958,EW23,Green,East West
Bukit Batok,103.74954065595492,1.3489966464287526,NS2,Red,North South
Oasis,103.9126318518065,1.4023508796763517,PE6,,Punggol LRT
Nibong,103.90029894815675,1.4117555857490138,PW5,,Punggol LRT
Meridian,103.90899093849958,1.3968523392134025,PE2,,Punggol LRT
Bukit Gombak,103.75191010909083,1.3586719216766776,NS3,Red,North South
Eunos,103.90336181829896,1.3197792314619146,EW7,Green,East West
Chinese Garden,103.73281439469635,1.3421449757273656,EW25,Green,East West
Kadaloor,103.91639497899564,1.3996385097348187,PE5,,Punggol LRT
Cheng Lim,103.89390790820732,1.3962489159137625,SW1,,Sengkang LRT
Sam Kee,103.90483111328929,1.4096137635650092,PW1,,Punggol LRT
Kranji,103.76218063429437,1.4252396285345745,NS7,Red,North South
Ang Mo Kio,103.8496163530278,1.3699486592449512,NS16,Red,North South
Riviera,103.91622379031344,1.3946364786519787,PE4,,Punggol LRT
Bangkit,103.77266121898698,1.3800154941538407,BP9,,Bukit Panjang LRT
Pasir Panjang,103.79134196584099,1.2762296704620824,CC26,Orange,Circle
Holland Village,103.79623333607995,1.3119456176539683,CC21,Orange,Circle
Labrador Park,103.80292770509465,1.272323494172133,CC27,Orange,Circle
Botanic Gardens,103.81498942403134,1.3221094924390127,CC19,Orange,Circle
Botanic Gardens,103.81498942403134,1.3221094924390127,DT9,Blue,Downtown
one-north,103.78739399263875,1.299656479750217,CC23,Orange,Circle
Kent Ridge,103.78449793839724,1.2934009386348053,CC24,Orange,Circle
Haw Par Villa,103.78182132877058,1.2825029024252173,CC25,Orange,Circle
Marina Bay,103.85514511012478,1.2759503532634144,NS27,Red,North South
Marina Bay,103.85514511012478,1.2759503532634144,CE2,Orange,Circle Extension
King Albert Park,103.78387153218183,1.335638111478614,DT6,Blue,Downtown
Little India,103.84861049957483,1.3071673593544857,NE7,Purple,North East
Little India,103.84861049957483,1.3071673593544857,DT12,Blue,Downtown
Rochor,103.85243888579355,1.3039275604057883,DT13,Blue,Downtown
Senja,103.76236875392893,1.3826992420009616,BP13,,Bukit Panjang LRT
Mountbatten,103.88254701515265,1.3061937871203504,CC7,Orange,Circle
Choa Chu Kang,103.74436906811253,1.38517205129643,NS4,Red,North South
Choa Chu Kang,103.74436906811253,1.38517205129643,BP1,,Bukit Panjang LRT
Boon Keng,103.86168108554399,1.3194470899422934,NE9,Purple,North East
Bartley,103.87972518740428,1.3428468441312822,CC12,Orange,Circle
Segar,103.76965965369814,1.3877564079090396,BP11,,Bukit Panjang LRT
Hillview,103.76742925213813,1.3623400897045508,DT3,Blue,Downtown
Beauty World,103.77581897698836,1.3412035629000165,DT5,Blue,Downtown
Bukit Panjang,103.76157274093427,1.3791601966032672,DT1,Blue,Downtown
Bukit Panjang,103.76157274093427,1.3791601966032672,BP6,,Bukit Panjang LRT
Cashew,103.76469719067453,1.3693615846907987,DT2,Blue,Downtown
Joo Koon,103.67838692895,1.3277168588523394,EW29,Green,East West
Yew Tee,103.74740209309829,1.3975496332584143,NS5,Red,North South
Yishun,103.83497216242338,1.4295817516063585,NS13,Red,North South
Yio Chu Kang,103.84480082324343,1.3817576070023976,NS15,Red,North South
Woodleigh,103.8708091900647,1.33920708742577,NE11,Purple,North East
Woodlands,103.78616372622344,1.4368311610388318,NS9,Red,North South
Woodlands,103.78616372622344,1.4368311610388318,TE2,Brown,Thomson–East Coast
Upper Changi,103.96147329736628,1.341740478840542,DT34,Blue,Downtown
Telok Ayer,103.84831284867057,1.2822805844652623,DT18,Blue,Downtown
Tongkang,103.88593735851892,1.3893387810090914,SW7,,Sengkang LRT
Ubi,103.89924886691833,1.3299552646755695,DT27,Blue,Downtown
Toa Payoh,103.84742121706205,1.3326773929779798,NS19,Red,North South
Tiong Bahru,103.82703434069519,1.2862197404059492,EW17,Green,East West
