School Name,address,postal_code,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,Latitude,Longitude,Full Address
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,63627512,na,ADMIRALTY_PS@MOE.EDU.SG,Admiralty Station,"TIBS 965, 964, 913",MR CHEN ZHONGYI,MADAM CHUA MUI LING,MR HAMRI BIN A JALIL,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.4426347903311,103.800040119743,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT   ,737916,63652774,na,Admiralty_SS@moe.edu.sg,ADMIRALTY MRT,904,MR TAN KELLY,MR CHAN YEW REN EUGENE,MR TAN HOCK CHUAN MICHAEL,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.44589068910993,103.802398196596,31 WOODLANDS CRESCENT ADMIRALTY SECONDARY SCHOOL SINGAPORE 737916
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,768643,67592927,na,AIPS@MOE.EDU.SG,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",MS BAEY EE-LYN,MADAM YEO SIAU YEN,MADAM ZHANG JUNLI,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.43315271543517,103.832942401086,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7   ,768928,67557778,na,AISS@MOE.EDU.SG,"CANBERRA MRT, YISHUN MRT","117, 167, 169, 800, 811, 812, 883, 856, 858, 859, 965, 969, 980",MR GOH SOON HOE,MISS LEA SHU HUI,MR QUEK CHOON HSIONG,MISS LATIFAH BTE ABDUL LATIFF,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.43605975368804,103.829718690077,751 YISHUN AVENUE 7 AHMAD IBRAHIM SECONDARY SCHOOL SINGAPORE 768928
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,64532726,na,AITONG_SCH@MOE.EDU.SG,Bishan MRT,"410, 162, 52",MR WONG JIA WANG,MR YAK BENG WEI,MR CHIU SHEK MAN PHILIP,MR KHOO THIAM HUAT,na,na,na,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na,1.3605834338904,103.833020333986,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,62485409,na,alexandra_ps@moe.edu.sg,Redhill Station; Tiong Bahru Station,"51, 122, 139, 186, 970.",MADAM TEO CHING LING,MADAM RAPS AZRINAH,MR LOH KAH HONG,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.29133439161334,103.824424680531,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,544969,63159825,na,anchorgreen_ps@moe.edu.sg,MRT : NE16-Sengkang; LRT : SW7-TongKang,"Bus 372, 110, 50",MR CHEONG LIT SERN WESLEY,MDM MUMTAAS BINTE MOHAMED KASSIM,MADAM NEO LAY PIN,na,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39036998654612,103.887165375933,31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,65522310,na,ANDERSON_PS@MOE.EDU.SG,Yio Chu Kang MRT Station (NS 15); Lentor MRT Station (TE5),"Ang Mo Kio Ave 9 - Bus 76, 265, 268",MS SHIRLEY LEOW,MR BOH CHEK KEOW,MADAM TAN AI CHOO,na,na,na,na,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.38426429436736,103.841392081119,19 ANG MO KIO AVENUE 9 ANDERSON PRIMARY SCHOOL SINGAPORE 569785
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53   ,569206,64586104,na,ANDERSON_SS@MOE.EDU.SG,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 45, 50, 72, 159",MISS TAN PO CHIN,MR JONAH LIM TUCK HWAY (LIN DAHUI),MR LEE CHUN YANG EUGENE,MR SHAHREEN BIN AMAN,na,na,na,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.37434001701177,103.851554107068,10 ANG MO KIO STREET 53 ANDERSON SECONDARY SCHOOL SINGAPORE 569206
ANDERSON SERANGOON JUNIOR COLLEGE,1033 Upper Serangoon Road   ,534768,64598734,na,asrjc@moe.edu.sg,Kovan MRT Station,"25, 55, 62, 80, 81, 82, 101, 107, 107M, 112, 113, 115, 119, 132, 136, 153, 325, 854",MR HENG YEW SENG,MR GURUSHARAN SINGH S/O M SINGH,MADAM TEY LI SHUN,MR MOHAMAD AMRAN SHAH BIN ABDUL RAHIM,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,MALAY,TAMIL,1.36504342002442,103.887038809373,1033 UPPER SERANGOON ROAD ANDERSON SERANGOON JUNIOR COLLEGE SINGAPORE 534768
