Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km
SPRING @ KATONG,"2,400,000","1,119.46","2,144",Sep-25,CEYLON ROAD,Resale,Strata,104,"23,077",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.30560970882214,103.903400896749,18 CEYLON ROAD SPRING @ KATONG SINGAPORE 429748,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
THE SEA VIEW,"3,423,700","1,216.33","2,815",Sep-25,AMBER ROAD,Resale,Strata,113,"30,298",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20,1.30146373788307,103.902456466126,31 AMBER ROAD THE SEA VIEW SINGAPORE 439943,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
FORTUNE JADE,"2,200,000","1,140.98","1,928",Sep-25,DUNMAN ROAD,Resale,Strata,106,"20,755",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20,1.309917518417,103.894838452185,501 DUNMAN ROAD FORTUNE JADE SINGAPORE 439193,DAKOTA MRT STATION; PAYA LEBAR MRT STATION; PAYA LEBAR MRT STATION,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Katong Shopping Centre; City Plaza
IDYLLIC RESIDENCES,"1,800,000","1,097.93","1,639",Sep-25,LORONG M TELOK KURAU,Resale,Strata,102,"17,647",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1.31067589387575,103.912760068148,52 LORONG M TELOK KURAU IDYLLIC RESIDENCES SINGAPORE 425346,MARINE TERRACE MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
GRAND DUNMAN,"2,582,000","1,044.11","2,473",Sep-25,DUNMAN ROAD,New Sale,Strata,97,"26,619",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
MEYER BLUE,"3,797,000","1,140.98","3,328",Sep-25,MEYER ROAD,New Sale,Strata,106,"35,821",-,Apartment,1,Freehold,15,Rest of Central Region,21 to 25,1.29658307180925,103.891682981836,83 MEYER ROAD MEYER BLUE (U/C) SINGAPORE 437910,KATONG PARK MRT STATION; TANJONG KATONG MRT STATION,,
AMBER HOUSE,"1,950,824",635.08,"3,072",Sep-25,AMBER GARDENS,New Sale,Strata,59,"33,065",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.30158520286259,103.900558767807,30 AMBER GARDENS AMBER HOUSE (U/C) SINGAPORE 439964,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
BLU CORAL,"905,000",505.91,"1,789",Sep-25,LORONG L TELOK KURAU,Resale,Strata,47,"19,255",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1.31269286351102,103.91441930412,127 LORONG L TELOK KURAU BLU CORAL SINGAPORE 425562,MARINE TERRACE MRT STATION; KEMBANGAN MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
THE SEA VIEW,"3,860,000","1,410.08","2,737",Sep-25,AMBER ROAD,Resale,Strata,131,"29,466",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1.30146373788307,103.902456466126,31 AMBER ROAD THE SEA VIEW SINGAPORE 439943,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
THE LINE @ TANJONG RHU,"2,780,000","1,216.33","2,286",Sep-25,TANJONG RHU ROAD,Resale,Strata,113,"24,602",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,1.29843730060613,103.884408021083,6 TANJONG RHU ROAD THE LINE @ TANJONG RHU SINGAPORE 436883,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
GRAND DUNMAN,"2,622,000","1,044.11","2,511",Sep-25,DUNMAN ROAD,New Sale,Strata,97,"27,031",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
THE CONTINUUM,"3,901,000","1,270.15","3,071",Sep-25,THIAM SIEW AVENUE,New Sale,Strata,118,"33,059",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20,1.31099710605752,103.895720193717,3 THIAM SIEW AVENUE THE CONTINUUM (U/C) SINGAPORE 436841,PAYA LEBAR MRT STATION; DAKOTA MRT STATION; PAYA LEBAR MRT STATION,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Katong Shopping Centre; Paya Lebar Square; Singpost Centre; City Plaza
TEMBUSU GRAND,"4,124,000","1,711.48","2,410",Sep-25,JALAN TEMBUSU,New Sale,Strata,159,"25,937",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10,1.30564484991169,103.896865551663,92 JALAN TEMBUSU TEMBUSU GRAND (U/C) SINGAPORE 439142,TANJONG KATONG MRT STATION; DAKOTA MRT STATION,Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square
