Project Name,Postal District,Transacted Price ($),Area (SQM),unit_price_psm,dist_to_cbd,dist_proximity_norm,score_property_family,affordability_family,worth_family
PEOPLE'S PARK COMPLEX,1,"700,000",104,6731,0.9521,0.9646890555552707,0.6027337378734551,0.8668617675205853,73.48
WATERLOO VIEW,7,"1,600,000",165,9697,1.9735,0.9123275592488734,0.6790366273342038,0.7624216729599019,72.07
HONG BUILDING,8,"1,422,850",127.0,11204,1.7953,0.9214628819841388,0.690782714573277,0.709356527139622,70.01
PEOPLE'S PARK CENTRE,1,"1,750,000",217,8065,0.8392,0.970476810531766,0.5728987325584316,0.8198883736756926,69.64
JIA,9,"3,100,000",299.0,10368,2.1846,0.9015056365248864,0.6162193624115694,0.7387941262807992,67.75
SUNSHINE PLAZA,7,"1,448,800",121,11974,1.9182,0.9151624826341719,0.649443544454853,0.6822429489832746,66.58
8 @ MOUNT SOPHIA,9,"2,600,000",232.0,11207,2.0642,0.9076778747814853,0.6041646432768945,0.7092508898221298,65.67
ESPA,23,"1,600,000",156,10256,2.2434,0.8984912876088729,0.5661000153741758,0.742737919467177,65.44
SOPHIA RESIDENCE,9,"2,770,000",239.0,11590,2.0732,0.9072164948453608,0.6055400517401752,0.6957645256222844,65.07
SEASONS PARK,26,"1,100,000",134.0,8209,3.3624,0.841126382217392,0.48451620824357394,0.8148177824360641,64.97
LITTLE INDIA CONSERVATION AREA,8,"1,050,000",107.0,9813,2.4105,0.8899250001281611,0.5367094889000641,0.7583370300168677,64.75
BURLINGTON SQUARE,7,"1,230,000",104,11827,2.1362,0.9039868352924892,0.6003600820357713,0.6874191775403956,64.39
THE BENCOOLEN,7,"1,587,500",118,13453,2.0801,0.9068627702276654,0.6463286474768107,0.6301637514595895,63.82
CAVENAGH GARDENS,9,"1,900,000",144.0,13194,2.6554,0.8773703394218396,0.6354102563131288,0.639283773203088,63.73
TOWNHOUSE APARTMENTS,9,"2,550,000",270.0,9444,3.0484,0.8572234155444027,0.4965213318914215,0.771330420068416,63.39
SOPHIA 98,9,"1,840,000",138.0,13333,2.1823,0.9016235447307848,0.631659301050736,0.6343892441592799,63.3
TEXTILE CENTRE,7,"850,000",93,9140,2.6,0.8802103892508728,0.4670728470490147,0.7820350015742986,62.46
EMILY RESIDENCE,9,"1,850,000",151.0,12252,2.3391,0.8935852809547489,0.5736227152166842,0.6724538908956584,62.3
THE PEAK,5,"5,600,000",405,13827,3.12,0.8535528818303455,0.6246154613518466,0.6169942992122207,62.08
RACE COURSE 138,8,"980,000",112.0,8750,2.969,0.8612938118697678,0.4363114643442733,0.7957678528482928,61.6
