Project Name,Postal District,Transacted Price ($),Area (SQM),unit_price_psm,dist_to_cbd,dist_proximity_norm,score_property_retiree,affordability_retiree,worth_retiree
PEOPLE'S PARK COMPLEX,1,"700,000",104,6731,0.9521,0.9646890555552707,0.7507087855714167,0.801381096586904,77.6
PEOPLE'S PARK CENTRE,1,"1,750,000",217,8065,0.8392,0.970476810531766,0.7038998474709056,0.7313050275170627,71.76
WATERLOO VIEW,7,"1,600,000",165,9697,1.9735,0.9123275592488734,0.6239328170122623,0.6455747840972867,63.48
SUN COURT,21,"492,633",167,2950,10.7709,0.4613337981308986,0.2509088766643549,1.0,62.55
BEDOK SHOPPING COMPLEX,16,"340,000",113,3009,12.0375,0.3964022617869757,0.19197925213791012,0.9969006836018586,59.44
RACE COURSE 138,8,"980,000",112.0,8750,2.969,0.8612938118697678,0.49246445914614934,0.6953214388267769,59.39
JIA,9,"3,100,000",299.0,10368,2.1846,0.9015056365248864,0.5612954986388071,0.6103266264167294,58.58
HONG BUILDING,8,"1,422,850",127.0,11204,1.7953,0.9214628819841388,0.5951582267576195,0.5664108889786579,58.08
RACE COURSE MANSION,8,"1,080,000",117.0,9231,2.9387,0.862847124321387,0.49063303160245064,0.670054130563963,58.03
SIMS GREEN,14,"1,170,000",163,7178,5.106,0.7517417092588701,0.37891458036030107,0.7778998350620021,57.84
LITTLE INDIA CONSERVATION AREA,8,"1,050,000",107.0,9813,2.4105,0.8899250001281611,0.517113814291097,0.6394812128738223,57.83
TEXTILE CENTRE,7,"850,000",93,9140,2.6,0.8802103892508728,0.4807602053961557,0.6748344321271981,57.78
KIM KEAT GARDENS,12,"1,600,000",240.0,6667,4.4917,0.7832334531212353,0.34150163836442526,0.8047430669170913,57.31
DELIGHT COURT,14,"1,050,000",123,8537,5.443,0.7344655938728745,0.4372885668474226,0.7065104963319314,57.19
MAYFAIR PARK,21,"400,000",85,4706,10.0331,0.49915670000563905,0.23484362901928446,0.9077559390654862,57.13
8 @ MOUNT SOPHIA,9,"2,600,000",232.0,11207,2.0642,0.9076778747814853,0.5741085421693938,0.5662532966194305,57.02
THE ALCOVE,14,"1,600,000",221,7240,5.0255,0.7558684964653171,0.3647879054229719,0.7746429263046333,56.97
CANBERLIN APARTMENTS,14,"778,000",117,6650,4.435,0.7861401467188197,0.32978431473361897,0.8056360902860473,56.77
THE WATER EDGE,14,"950,000",130,7308,5.4036,0.7364854127043529,0.35842964923834475,0.7710708328288092,56.48
THE ARIZON,14,"1,300,000",164,7927,5.2178,0.7460103451634565,0.38709130354448423,0.7385542760415291,56.28
