Project Name,Postal District,Transacted Price ($),Area (SQM),unit_price_psm,dist_to_cbd,dist_proximity_norm,score_property_young,affordability_young,worth_young
PEOPLE'S PARK COMPLEX,1,"700,000",104,6731,0.9521,0.9646890555552707,0.644864129624995,0.816264449551523,73.06
PEOPLE'S PARK CENTRE,1,"1,750,000",217,8065,0.8392,0.970476810531766,0.617011324016934,0.7514394761851467,68.42
WATERLOO VIEW,7,"1,600,000",165,9697,1.9735,0.9123275592488734,0.6364182448695123,0.6721333618418739,65.43
BEDOK SHOPPING COMPLEX,16,"340,000",113,3009,12.0375,0.3964022617869757,0.2797265307840441,0.9971329284643057,63.84
SUN COURT,21,"492,633",167,2950,10.7709,0.4613337981308986,0.2531713690825181,1.0,62.66
KIM KEAT GARDENS,12,"1,600,000",240.0,6667,4.4917,0.7832334531212353,0.4261649088124827,0.8193744932512591,62.28
JIA,9,"3,100,000",299.0,10368,2.1846,0.9015056365248864,0.5944627141756564,0.6395264974274524,61.7
PUBLIC MANSION,12,"1,880,000",235.0,8000,4.8063,0.7671056611318162,0.4747296872904333,0.7545981143176913,61.47
HONG BUILDING,8,"1,422,850",127.0,11204,1.7953,0.9214628819841388,0.6281641108346194,0.5989015515996483,61.35
RACE COURSE 138,8,"980,000",112.0,8750,2.969,0.8612938118697678,0.5013510538105326,0.7181522897114079,60.98
LITTLE INDIA CONSERVATION AREA,8,"1,050,000",107.0,9813,2.4105,0.8899250001281611,0.5504334920605263,0.6664964076361021,60.85
SEASONS PARK,26,"1,100,000",134.0,8209,3.3624,0.841126382217392,0.45774674119680725,0.7444418778607403,60.11
CANBERLIN APARTMENTS,14,"778,000",117,6650,4.435,0.7861401467188197,0.38030165449948933,0.8202005986090015,60.03
8 @ MOUNT SOPHIA,9,"2,600,000",232.0,11207,2.0642,0.9076778747814853,0.6017054284616148,0.5987557683012232,60.02
THE WATER EDGE,14,"950,000",130,7308,5.4036,0.7364854127043529,0.4121920668906345,0.7882254618210889,60.02
SIMS GREEN,14,"1,170,000",163,7178,5.106,0.7517417092588701,0.40278187523268955,0.794542738086178,59.87
CHELSEA GROVE,12,"1,600,000",185.0,8649,4.5381,0.7808547832283267,0.4736130200539477,0.723060327425054,59.83
TOWNHOUSE APARTMENTS,9,"2,550,000",270.0,9444,3.0484,0.8572234155444027,0.5117851181198163,0.6844277533423936,59.81
RACE COURSE MANSION,8,"1,080,000",117.0,9231,2.9387,0.862847124321387,0.49478678751570393,0.6947783675305781,59.48
MUTIARA CREST,10,"1,100,000",124,8871,2.7957,0.870177938862032,0.4773384574716138,0.7122723633415942,59.48
