Feature,Coefficient,Abs_Coefficient
Type_of_Area_Encoded,0.5952333064630331,0.5952333064630331
Sale Months Since Sep 2025,-0.2182083282302499,0.2182083282302499
Type_of_Sale_Encoded,-0.21142258776337736,0.21142258776337736
Market_Segment_Encoded,-0.09360126303598602,0.09360126303598602
Property_Type_Encoded,0.08802112085961575,0.08802112085961575
Floor_Level_Category,0.07256935372623638,0.07256935372623638
Num Hospitals Within 5km,0.03589237000353276,0.03589237000353276
Num Malls Within 1km,0.03565684945939631,0.03565684945939631
Num Hawker Within 1km,-0.03466387814009209,0.03466387814009209
Num Parks Within 1km,0.029885938195371952,0.029885938195371952
Num MRT Within 1km,-0.017245409022173547,0.017245409022173547
Num Schools Within 2km,0.013535113110285765,0.013535113110285765
Dist to CBD in Km,0.00654004460795945,0.00654004460795945
District,-0.0001361765679946907,0.0001361765679946907
