ListID,PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author,ListDate,Address,NearestMRT,DistanceToMRT,PricePerSqft,URL
60071656,Livia,Sale,1750000.0,3,3,1324,Donny Lim,25 Sep 2025,71 Pasir Ris Grove,CP1 Pasir Ris MRT Station,740.0,1321.75,https://www.propertyguru.com.sg/listing/for-sale-livia-60071656
25507242,Sea Esta,Sale,1400000.0,3,2,1119,Alex Khoo,25 Sep 2025,18 Pasir Ris Link,,,1251.12,https://www.propertyguru.com.sg/listing/for-sale-sea-esta-25507242
25141413,D'Nest,Sale,1698000.0,3,3,1130,Agnes Ng,25 Sep 2025,147 Pasir Ris Grove,CP1 Pasir Ris MRT Station,740.0,1502.65,https://www.propertyguru.com.sg/listing/for-sale-d-nest-25141413
60126063,Eastvale,Sale,1280000.0,3,2,1184,Tania Lam,25 Sep 2025,35 Pasir Ris Drive 3,EW1 Pasir Ris MRT Station,620.0,1081.08,https://www.propertyguru.com.sg/listing/for-sale-eastvale-60126063
25434875,Pasir Ris 8,Sale,1599999.0,2,2,775,Corraine Choo,25 Sep 2025,10 Pasir Ris Drive 8,EW1 Pasir Ris MRT Station,40.0,2064.51,https://www.propertyguru.com.sg/listing/for-sale-pasir-ris-8-25434875
25594883,Simei Green Condominium,Sale,1818000.0,4,2,1593,KAREN ONG,25 Sep 2025,1 Simei Street 4,DT34 Upper Changi MRT Station,580.0,1141.24,https://www.propertyguru.com.sg/listing/for-sale-simei-green-condominium-25594883
60066302,The Tapestry,Sale,1728888.0,3,2,990,Val Ong,25 Sep 2025,59 Tampines Street 86,,,1746.35,https://www.propertyguru.com.sg/listing/for-sale-the-tapestry-60066302
60118547,Treasure at Tampines,Sale,1065000.0,2,1,592,Irene Tan,25 Sep 2025,13 Tampines Lane,,,1798.99,https://www.propertyguru.com.sg/listing/for-sale-treasure-at-tampines-60118547
60084354,Tropical Spring,Sale,1628000.0,3,3,1378,Ashley Chai 蔡忝玲,25 Sep 2025,25 Simei Street 4,EW3 Simei MRT Station,400.0,1181.42,https://www.propertyguru.com.sg/listing/for-sale-tropical-spring-60084354
21524065,Coco Palms,Sale,818000.0,1,1,462,Eugene Tay,25 Sep 2025,13 Pasir Ris Grove,CP1 Pasir Ris MRT Station,500.0,1770.56,https://www.propertyguru.com.sg/listing/for-sale-coco-palms-21524065
21751686,D'Nest,Sale,1499999.0,3,2,947,Kelly Tan,25 Sep 2025,139 Pasir Ris Grove,CP1 Pasir Ris MRT Station,740.0,1583.95,https://www.propertyguru.com.sg/listing/for-sale-d-nest-21751686
60080313,NV Residences,Sale,1828000.0,3,3,1227,Danielle Sim,25 Sep 2025,85 Pasir Ris Grove,CP1 Pasir Ris MRT Station,680.0,1489.81,https://www.propertyguru.com.sg/listing/for-sale-nv-residences-60080313
